"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","signal_umis","dataset"
"1",0,0,0,0,0,0,"tenx_nextgem"
"2",9999997.44847719,8236254.93956083,8041953.3681325,8016828.77799779,8067156.69825866,3906459,"tenx_nextgem"
"3",19999994.8969544,16472509.8791217,15735217.7027002,15694750.5736798,15775789.1716095,7643539,"tenx_nextgem"
"4",29999992.3454316,24708764.8186825,23117866.11419,23067275.5157351,23168567.6667387,11229734,"tenx_nextgem"
"5",39999989.7939088,32945019.7582433,30220436.4763936,30162738.2639824,30278245.0595439,14679879,"tenx_nextgem"
"6",49999987.242386,41181274.6978041,37066667.5141638,37003727.6811815,37129714.4018356,18005504,"tenx_nextgem"
"7",59999984.6908632,49417529.637365,43676496.3235997,43609537.7185991,43743557.7376421,21216294,"tenx_nextgem"
"8",69999982.1393403,57653784.5769258,50066625.9513909,49996488.2523334,50136862.0432956,24320364,"tenx_nextgem"
"9",79999979.5878175,65890039.5164866,56251906.1973498,56179187.6457143,56324718.8761519,27324925,"tenx_nextgem"
"10",89999977.0362947,74126294.4560474,62245047.3801447,62170186.681362,62319998.2205937,30236154,"tenx_nextgem"
"11",99999974.4847719,82362549.3956082,68057092.4061089,67980418.6836204,68133852.6073193,33059413,"tenx_nextgem"
"12",109999971.933249,90598804.3351691,73698329.166696,73620093.9258529,73776647.5472443,35799700,"tenx_nextgem"
"13",119999969.381726,98835059.2747299,79178176.1817981,79098574.6080264,79257857.8633413,38461590,"tenx_nextgem"
"14",129999966.830203,107071314.214291,84505028.4077152,84424214.0336581,84585920.1406572,41049162,"tenx_nextgem"
"15",139999964.278681,115307569.153852,89686317.2893971,89604412.3638695,89768297.0819613,43566025,"tenx_nextgem"
"16",149999961.727158,123543824.093412,94728926.7260417,94646029.6978829,94811896.3607039,46015523,"tenx_nextgem"
"17",159999959.175635,131780079.032973,99639732.7540298,99555923.7632875,99723612.2975495,48400996,"tenx_nextgem"
"18",169999956.624112,140016333.972534,104424593.313863,104339938.275741,104509317.035899,50725290,"tenx_nextgem"
"19",179999954.072589,148252588.912095,109088950.026982,109003503.701908,109174463.332237,52991048,"tenx_nextgem"
"20",189999951.521067,156488843.851656,113638094.356618,113551902.680009,113724351.4571,55200840,"tenx_nextgem"
"21",199999948.969544,164725098.791216,118077067.015749,117990168.879781,118164029.150998,57357116,"tenx_nextgem"
"22",209999946.418021,172961353.730777,122410137.084352,122322565.709269,122497771.152248,59461948,"tenx_nextgem"
"23",219999943.866498,181197608.670338,126641985.295123,126553769.290129,126730262.792269,61517610,"tenx_nextgem"
"24",229999941.314975,189433863.609899,130776158.215602,130687322.403399,130865054.414699,63525826,"tenx_nextgem"
"25",239999938.763453,197670118.54946,134816827.279196,134727393.337107,134906320.588796,65488622,"tenx_nextgem"
"26",249999936.21193,205906373.489021,138767441.308193,138677428.268134,138857512.774107,67407672,"tenx_nextgem"
"27",259999933.660407,214142628.428581,142631005.721535,142540430.358439,142721638.639506,69284437,"tenx_nextgem"
"28",269999931.108884,222378883.368142,146411269.797889,146320146.930525,146502449.413261,71120738,"tenx_nextgem"
"29",279999928.557361,230615138.307703,150110459.493616,150018802.215944,150202172.771311,72917656,"tenx_nextgem"
"30",289999926.005839,238851393.247264,153731867.793991,153639687.650224,153824103.243643,74676792,"tenx_nextgem"
"31",299999923.454316,247087648.186825,157278200.310397,157185507.4259,157370947.856236,76399458,"tenx_nextgem"
"32",309999920.902793,255323903.126386,160752027.464005,160658830.639454,160845278.351243,78086904,"tenx_nextgem"
"33",319999918.35127,263560158.065946,164155793.699484,164062100.476759,164249540.428899,79740318,"tenx_nextgem"
"34",329999915.799747,271796413.005507,167491825.867108,167397642.570634,167586062.154132,81360829,"tenx_nextgem"
"35",339999913.248225,280032667.945068,170762340.869111,170667672.628942,170857061.621134,82949514,"tenx_nextgem"
"36",349999910.696702,288268922.884629,173969452.652611,173874303.412017,174064653.961727,84507401,"tenx_nextgem"
"37",359999908.145179,296505177.82419,177115178.620136,177019551.131058,177210857.76801,86035469,"tenx_nextgem"
"38",369999905.593656,304741432.76375,180201445.51936,180105341.328137,180297600.99177,87534654,"tenx_nextgem"
"39",379999903.042133,312977687.703311,183230096.710931,183133516.136727,183326728.219599,89005851,"tenx_nextgem"
"40",389999900.49061,321213942.642872,186203050.216486,186105992.324496,186300158.726053,90449993,"tenx_nextgem"
"41",399999897.939088,329450197.582433,189122081.396099,189024543.96618,189219669.155726,91867942,"tenx_nextgem"
"42",409999895.387565,337686452.521994,191988598.346889,191890577.839813,192086668.924271,93260381,"tenx_nextgem"
"43",419999892.836042,345922707.461555,194804134.125118,194705625.646794,194902692.442373,94628056,"tenx_nextgem"
"44",429999890.284519,354158962.401115,197570172.891879,197471170.157774,197669225.261287,95971687,"tenx_nextgem"
"45",439999887.732996,362395217.340676,200288138.629348,200188633.927758,200387692.790217,97291966,"tenx_nextgem"
"46",449999885.181474,370631472.280237,202959398.336737,202859382.493808,203059463.490517,98589557,"tenx_nextgem"
"47",459999882.629951,378867727.219798,205585265.010869,205484727.356125,205685851.85574,99865098,"tenx_nextgem"
"48",469999880.078428,387103982.159359,208166660.040179,208065588.374497,208267780.803272,101119036,"tenx_nextgem"
"49",479999877.526905,395340237.09892,210705063.213215,210603443.777983,210806731.681404,102352091,"tenx_nextgem"
"50",489999874.975382,403576492.03848,213201684.195539,213099501.644704,213303915.74355,103564850,"tenx_nextgem"
"51",499999872.42386,411812746.978041,215657645.213984,215554882.588047,215760456.830494,104757857,"tenx_nextgem"
"52",509999869.872337,420049001.917602,218074026.728351,217970665.431384,218177437.03906,105931639,"tenx_nextgem"
"53",519999867.320814,428285256.857163,220451869.440009,220347889.218775,220555898.728589,107086700,"tenx_nextgem"
"54",529999864.769291,436521511.796724,222792176.179557,222687555.105397,222896846.405853,108223527,"tenx_nextgem"
"55",539999862.217768,444757766.736285,225095913.6825,224990628.135325,225201248.498601,109342591,"tenx_nextgem"
"56",549999859.666246,452994021.675845,227363360.94888,227257385.60456,227469385.711939,110444026,"tenx_nextgem"
"57",559999857.114723,461230276.615406,229595521.439567,229488829.258052,229702263.223591,111528320,"tenx_nextgem"
"58",569999854.5632,469466531.554967,231794717.906634,231687280.122714,231902205.511492,112596602,"tenx_nextgem"
"59",579999852.011677,477702786.494528,233960715.743695,233852501.859764,234068979.702972,113648757,"tenx_nextgem"
"60",589999849.460154,485939041.434089,236094630.434177,235985608.214215,236203703.020959,114685327,"tenx_nextgem"
"61",599999846.908631,494175296.373649,238197277.383873,238087412.84858,238307192.615739,115706709,"tenx_nextgem"
"62",609999844.357109,502411551.31321,240269237.088984,240158494.511892,240380030.732013,116713184,"tenx_nextgem"
"63",619999841.805586,510647806.252771,242311240.082787,242199581.987622,242422949.654219,117705107,"tenx_nextgem"
"64",629999839.254063,518884061.192332,244324241.460318,244211628.61738,244436906.2322,118682943,"tenx_nextgem"
"65",639999836.70254,527120316.131893,246308729.415863,246195120.83969,246422390.417562,119646928,"tenx_nextgem"
"66",649999834.151017,535356571.071454,248265337.385777,248150690.33196,248380037.407195,120597370,"tenx_nextgem"
"67",659999831.599495,543592826.011014,250194706.819929,250078976.781898,250310490.414807,121534580,"tenx_nextgem"
"68",669999829.047972,551829080.950575,252097458.891696,251980599.59658,252214372.381836,122458861,"tenx_nextgem"
"69",679999826.496449,560065335.890136,253974195.315137,253856158.717854,254092286.796408,123370505,"tenx_nextgem"
"70",689999823.944926,568301590.829697,255825499.121772,255706235.399671,255944818.469561,124269794,"tenx_nextgem"
"71",699999821.393403,576537845.769258,257651935.399355,257531392.944149,257772534.276743,125157004,"tenx_nextgem"
"72",709999818.841881,584774100.708819,259454051.994873,259332177.403182,259575983.862201,126032400,"tenx_nextgem"
"73",719999816.290358,593010355.648379,261232218.927666,261108956.991165,261355539.05254,126896162,"tenx_nextgem"
"74",729999813.738835,601246610.58794,262986813.056325,262862106.748696,263111578.526773,127748474,"tenx_nextgem"
"75",739999811.187312,609482865.527501,264718605.808406,264592396.27196,264844875.546305,128589709,"tenx_nextgem"
"76",749999808.635789,617719120.467062,266428081.89819,266300308.428056,266555916.675275,129420105,"tenx_nextgem"
"77",759999806.084267,625955375.406623,268114248.527961,267984848.555668,268243710.982714,130239177,"tenx_nextgem"
"78",769999803.532744,634191630.346184,269778852.652994,269647761.727163,269910007.309489,131047775,"tenx_nextgem"
"79",779999800.981221,642427885.285744,271422561.357717,271289713.124329,271555474.64574,131846223,"tenx_nextgem"
"80",789999798.429698,650664140.225305,273047110.82188,272912437.003626,273181851.097485,132635364,"tenx_nextgem"
"81",799999795.878175,658900395.164866,274651553.379628,274514983.753598,274788190.948262,133414738,"tenx_nextgem"
"82",809999793.326653,667136650.104427,276236395.715762,276097858.090784,276375002.854766,134184591,"tenx_nextgem"
"83",819999790.77513,675372905.043988,277802147.451572,277661567.644825,277942798.433751,134945171,"tenx_nextgem"
"84",829999788.223607,683609159.983548,279349005.947476,279206307.76085,279491777.06502,135696573,"tenx_nextgem"
"85",839999785.672084,691845414.923109,280877693.894048,280732799.09051,281022663.482236,136439148,"tenx_nextgem"
"86",849999783.120561,700081669.86267,282388979.871824,282241808.151602,282536228.333035,137173270,"tenx_nextgem"
"87",859999780.569039,708317924.802231,283882479.648651,283732948.626896,284032089.475234,137898753,"tenx_nextgem"
"88",869999778.017516,716554179.741792,285358705.384402,285206730.568845,285510761.181022,138615844,"tenx_nextgem"
"89",879999775.465993,724790434.681352,286816948.506142,286662443.276241,286971537.011221,139324200,"tenx_nextgem"
"90",889999772.91447,733026689.620913,288258361.99199,288101237.579112,288415572.097249,140024381,"tenx_nextgem"
"91",899999770.362947,741262944.560474,289683262.194063,289523427.663047,289843184.963457,140716541,"tenx_nextgem"
"92",909999767.811424,749499199.500035,291091957.157061,290929319.39063,291254685.842632,141400829,"tenx_nextgem"
"93",919999765.259902,757735454.439596,292483907.711659,292318371.39596,292649537.768546,142076983,"tenx_nextgem"
"94",929999762.708379,765971709.379157,293860916.393661,293692384.006467,294029545.491452,142745878,"tenx_nextgem"
"95",939999760.156856,774207964.318718,295221773.435004,295050145.236046,295393501.468647,143406928,"tenx_nextgem"
"96",949999757.605333,782444219.258278,296568543.226292,296393717.250642,296743472.321949,144061135,"tenx_nextgem"
"97",959999755.05381,790680474.197839,297900721.211403,297722593.265052,298078955.732015,144708254,"tenx_nextgem"
"98",969999752.502288,798916729.1374,299218558.590528,299037022.249789,299400205.136494,145348407,"tenx_nextgem"
"99",979999749.950765,807152984.076961,300522352.573684,300337299.186058,300707519.982301,145981737,"tenx_nextgem"
"100",989999747.399242,815389239.016522,301811859.892622,301623178.58186,302000659.233561,146608129,"tenx_nextgem"
"101",999999744.847719,823625493.956082,303087174.273461,302894751.947052,303279718.841512,147227625,"tenx_nextgem"
"102",1009999742.2962,831861748.895643,304348796.198183,304152517.557786,304545201.503007,147840471,"tenx_nextgem"
"103",1019999739.74467,840098003.835204,305597169.233515,305396916.788875,305797552.986099,148446880,"tenx_nextgem"
